"Path","Name","Scripts","Dependencies","DevDependencies","Framework"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\cookie\package.json","cookie","bench,lint,test,test-ci,test-cov,update-bench","","beautify-benchmark,benchmark,eslint,eslint-plugin-markdown,mocha,nyc,safe-buffer,top-sites",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\cookie-signature\package.json","cookie-signature","test","","mocha,should",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\cors\package.json","cors","test,lint","object-assign,vary","after,eslint,express,mocha,nyc,supertest","express"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\debug\package.json","debug","","ms","browserify,chai,concurrently,coveralls,eslint,istanbul,karma,karma-chai,karma-mocha,karma-phantomjs-launcher,karma-sinon,mocha,mocha-lcov-reporter,rimraf,sinon,sinon-chai",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\deepmerge\package.json","deepmerge","build,test,test:typescript,size","","@types/node,is-mergeable-object,is-plain-object,jsmd,rollup,rollup-plugin-commonjs,rollup-plugin-node-resolve,tape,ts-node,typescript,uglify-js",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\depd\package.json","depd","bench,lint,test,test-ci,test-cov","","benchmark,beautify-benchmark,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha,safe-buffer,uid-safe",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\destroy\package.json","destroy","lint,test,test-ci,test-cov","","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\domelementtype\lib\esm\package.json",,"","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\domelementtype\package.json","domelementtype","test,lint,format,build,build:cjs,build:esm,prepare","","@typescript-eslint/eslint-plugin,@typescript-eslint/parser,eslint,eslint-config-prettier,prettier,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\domhandler\lib\esm\package.json",,"","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\domhandler\package.json","domhandler","test,test:jest,lint,lint:es,lint:prettier,format,format:es,format:prettier,prettier,build,build:cjs,build:esm,prepare","domelementtype","@types/jest,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,eslint,eslint-config-prettier,htmlparser2,jest,prettier,ts-jest,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\dom-serializer\lib\esm\package.json",,"","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\dom-serializer\package.json","dom-serializer","test,test:jest,lint,lint:es,lint:prettier,format,format:es,format:prettier,prettier,build,build:cjs,build:esm,prepare","domelementtype,domhandler,entities","@types/jest,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,cheerio,eslint,eslint-config-prettier,htmlparser2,jest,prettier,ts-jest,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\domutils\lib\esm\package.json",,"","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\domutils\package.json","domutils","test,test:jest,lint,lint:es,lint:prettier,format,format:es,format:prettier,prettier,build,build:cjs,build:esm,build:docs,prepare","dom-serializer,domelementtype,domhandler","@types/jest,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,eslint,eslint-config-prettier,eslint-plugin-jsdoc,htmlparser2,jest,prettier,ts-jest,typedoc,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\dotenv\package.json","dotenv","dts-check,lint,pretest,test,test:coverage,prerelease,release","","@types/node,decache,sinon,standard,standard-version,tap,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\dunder-proto\package.json","dunder-proto","prepack,prepublish,prepublishOnly,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","call-bind-apply-helpers,es-errors,gopd","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/tape,auto-changelog,encoding,eslint,evalmd,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\ee-first\package.json","ee-first","test,test-cov,test-travis","","istanbul,mocha",""
