"Path","Name","Scripts","Dependencies","DevDependencies","Framework"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\nodemon\node_modules\ms\package.json","ms","precommit,lint,test","","eslint,expect.js,husky,lint-staged,mocha,prettier",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\nodemon\package.json","nodemon","commitmsg,coverage,lint,test,spec,postspec,clean,web,semantic-release,prepush,killall","chokidar,debug,ignore-by-default,minimatch,pstree.remy,semver,simple-update-notifier,supports-color,touch,undefsafe","@commitlint/cli,@commitlint/config-conventional,async,coffee-script,eslint,husky,mocha,nyc,proxyquire,semantic-release,should",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\normalize-path\package.json","normalize-path","test","","gulp-format-md,minimist,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\object-assign\package.json","object-assign","test,bench","","ava,lodash,matcha,xo",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\object-inspect\package.json","object-inspect","prepack,prepublish,prepublishOnly,pretest,lint,postlint,test,tests-only,test:corejs,posttest,version,postversion","","@ljharb/eslint-config,@pkgjs/support,auto-changelog,core-js,error-cause,es-value-fixtures,eslint,for-each,functions-have-names,glob,globalthis,has-symbols,has-tostringtag,in-publish,jackspeak,make-arrow-function,mock-property,npmignore,nyc,safe-publish-latest,safer-buffer,semver,string.prototype.repeat,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\on-finished\package.json","on-finished","lint,test,test-ci,test-cov","ee-first","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\parseley\package.json","parseley","build:deno,build:docs,build:rollup,build:types,build,checkAll,clean,example,lint:eslint,lint:md,lint,prepublishOnly,test","leac,peberminta","@rollup/plugin-typescript,@tsconfig/node14,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,ava,denoify,eslint,eslint-plugin-jsonc,eslint-plugin-tsdoc,markdownlint-cli2,rimraf,rollup,rollup-plugin-cleanup,ts-node,tslib,typedoc,typedoc-plugin-markdown,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\parseurl\package.json","parseurl","bench,lint,test,test-cov,test-travis","","beautify-benchmark,benchmark,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,fast-url-parser,istanbul,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\path-to-regexp\package.json","path-to-regexp","test","","mocha,istanbul",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\peberminta\package.json","peberminta","build:docs,build:deno,build:rollup,build:types,build,checkAll,clean,cover,example:bf1,example:bf2,example:calc,example:csv,example:hexColor,example:json,example:nonDec,lint:eslint,lint:md,lint,prepublishOnly,test:ava,test:tsc,test,ts","","@rollup/plugin-typescript,@tsconfig/node14,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,ava,c8,concurrently,denoify,eslint,eslint-plugin-jsonc,eslint-plugin-tsdoc,expect-type,leac,markdownlint-cli2,rimraf,rollup,rollup-plugin-cleanup,ts-node,tslib,typedoc,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\picomatch\package.json","picomatch","lint,mocha,test,test:ci,test:cover","","eslint,fill-range,gulp-format-md,mocha,nyc,time-require",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\prettier\package.json","prettier","","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\proxy-addr\package.json","proxy-addr","bench,lint,test,test-ci,test-cov","forwarded,ipaddr.js","benchmark,beautify-benchmark,deep-equal,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\pstree.remy\package.json","pstree.remy","test,_prepublish","","tap",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\punycode\package.json","punycode","test,build","","codecov,nyc,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\qs\package.json","qs","prepack,prepublishOnly,prepublish,pretest,test,tests-only,posttest,readme,postlint,lint,dist","side-channel","@browserify/envify,@browserify/uglifyify,@ljharb/eslint-config,browserify,bundle-collapser,common-shakeify,eclint,es-value-fixtures,eslint,evalmd,for-each,glob,has-override-mistake,has-property-descriptors,has-symbols,iconv-lite,in-publish,jackspeak,mkdirp,mock-property,module-deps,npmignore,nyc,object-inspect,qs-iconv,safe-publish-latest,safer-buffer,tape,unassertify",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\range-parser\package.json","range-parser","lint,test,test-cov,test-travis","","deep-equal,eslint,eslint-config-standard,eslint-plugin-markdown,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\raw-body\package.json","raw-body","lint,test,test-ci,test-cov","bytes,http-errors,iconv-lite,unpipe","bluebird,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc,readable-stream,safe-buffer",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\react\package.json","react","","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\react-dom\package.json","react-dom","","scheduler","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\react-promise-suspense\package.json","react-promise-suspense","build,dev,prepublishOnly,test","fast-deep-equal","@types/node,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\readdirp\package.json","readdirp","dtslint,nyc,mocha,lint,test","picomatch","@types/node,chai,chai-subset,dtslint,eslint,mocha,nyc,rimraf,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\resend\package.json","resend","build,test,test:watch,format:apply,format:check,format,lint,prepublishOnly","@react-email/render","@biomejs/biome,@types/jest,@types/node,@types/react,jest,jest-fetch-mock,ts-jest,ts-node,tsup,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\safe-buffer\package.json","safe-buffer","test","","standard,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\safer-buffer\package.json","safer-buffer","browserify-test,test","","standard,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\scheduler\package.json","scheduler","","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\selderee\package.json","selderee","build:rollup,build:types,build,clean","parseley","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\semver\package.json","semver","test,snap,lint,postlint,lintfix,posttest,template-oss-apply,eslint","","@npmcli/eslint-config,@npmcli/template-oss,benchmark,tap",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\send\node_modules\encodeurl\package.json","encodeurl","lint,test,test-cov,test-travis","","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\send\node_modules\ms\package.json","ms","precommit,lint,test","","eslint,expect.js,husky,lint-staged,mocha,prettier",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\send\package.json","send","lint,test,test-ci,test-cov","debug,depd,destroy,encodeurl,escape-html,etag,fresh,http-errors,mime,ms,on-finished,range-parser,statuses","after,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc,supertest",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\serve-static\package.json","serve-static","lint,test,test-ci,test-cov,version","encodeurl,escape-html,parseurl,send","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc,safe-buffer,supertest",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\setprototypeof\package.json","setprototypeof","test,testallversions,testversion,node010,node4,node6,node9,node11,prepublishOnly,postpublish","","mocha,standard",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\side-channel\package.json","side-channel","prepack,prepublishOnly,prepublish,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","es-errors,object-inspect,side-channel-list,side-channel-map,side-channel-weakmap","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/object-inspect,@types/tape,auto-changelog,eclint,encoding,eslint,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\side-channel-list\package.json","side-channel-list","prepack,prepublishOnly,prepublish,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","es-errors,object-inspect","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/object-inspect,@types/tape,auto-changelog,eclint,encoding,eslint,evalmd,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\side-channel-map\package.json","side-channel-map","prepack,prepublishOnly,prepublish,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","call-bound,es-errors,get-intrinsic,object-inspect","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/get-intrinsic,@types/object-inspect,@types/tape,auto-changelog,eclint,encoding,eslint,evalmd,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\side-channel-weakmap\package.json","side-channel-weakmap","prepack,prepublishOnly,prepublish,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","call-bound,es-errors,get-intrinsic,object-inspect,side-channel-map","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/call-bind,@types/get-intrinsic,@types/object-inspect,@types/tape,auto-changelog,eclint,encoding,eslint,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\sift\package.json","sift","clean,prebuild,build,build:types,test,test:spec,test:types,prepublishOnly","","@rollup/plugin-replace,@rollup/plugin-typescript,@types/node,bson,eval,husky,mocha,mongodb,prettier,pretty-quick,rimraf,rollup,@rollup/plugin-terser,tslib,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\simple-update-notifier\package.json","simple-update-notifier","test,build,prettier:check,prettier,eslint,lint,prepare,release","semver","@babel/preset-env,@babel/preset-typescript,@release-it/conventional-changelog,@types/jest,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,eslint,eslint-config-prettier,eslint-plugin-prettier,jest,prettier,release-it,rollup,rollup-plugin-ts,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\sparse-bitfield\package.json","sparse-bitfield","test","memory-pager","buffer-alloc,standard,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\statuses\package.json","statuses","build,fetch,lint,test,test-ci,test-cov,update,version","","csv-parse,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc,raw-body,stream-to-array",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\supports-color\package.json","supports-color","test","has-flag","ava,import-fresh,xo",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\toidentifier\package.json","toidentifier","lint,test,test-ci,test-cov,version","","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\to-regex-range\package.json","to-regex-range","test","is-number","fill-range,gulp-format-md,mocha,text-table,time-diff",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\touch\package.json","touch","test,preversion,postversion,postpublish","","mutate-fs,tap",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\tr46\package.json","tr46","test,lint,pretest,prepublish","punycode","@domenic/eslint-config,@unicode/unicode-16.0.0,eslint,globals,regenerate",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\type-is\package.json","type-is","lint,test,test-cov,test-travis","media-typer,mime-types","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\undefsafe\package.json","undefsafe","test,cover,semantic-release","","semantic-release,tap,tap-only",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\unpipe\package.json","unpipe","test,test-cov,test-travis","","istanbul,mocha,readable-stream",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\utils-merge\package.json","utils-merge","test","","make-node,mocha,chai",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\vary\package.json","vary","bench,lint,test,test-cov,test-travis","","beautify-benchmark,benchmark,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha,supertest",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\webidl-conversions\package.json","webidl-conversions","lint,test,test-no-sab,coverage","","@domenic/eslint-config,eslint,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\whatwg-url\package.json","whatwg-url","coverage,lint,prepare,pretest,build-live-viewer,test,bench","tr46,webidl-conversions","@domenic/eslint-config,benchmark,c8,esbuild,eslint,globals,webidl2js",""
"C:\Users\tommy\workspace\tee-time-brs\package.json","tee-time","dev,start,migrate:v1toV2,normalize,backfill:titles","cors,dotenv,express,express-rate-limit,mongoose,nodemaster,resend","nodemon","express"
