"Path","Name","Scripts","Dependencies"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\entities\package.json","entities","build,build:cjs,build:docs,build:encode-trie,build:esm,build:trie,format,format:es,format:prettier,lint,lint:es,lint:prettier,prepare,prettier,test,test:jest",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\entities\lib\esm\package.json",,"",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\es-define-property\package.json","es-define-property","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\es-errors\package.json","es-errors","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\es-object-atoms\package.json","es-object-atoms","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","es-errors"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\escape-html\package.json","escape-html","bench",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\etag\package.json","etag","bench,lint,test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\express\package.json","express","lint,test,test-ci,test-cov,test-tap","accepts,array-flatten,body-parser,content-disposition,content-type,cookie,cookie-signature,debug,depd,encodeurl,escape-html,etag,finalhandler,fresh,http-errors,merge-descriptors,methods,on-finished,parseurl,path-to-regexp,proxy-addr,qs,range-parser,safe-buffer,send,serve-static,setprototypeof,statuses,type-is,utils-merge,vary"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\express-rate-limit\package.json","express-rate-limit","build:cjs,build:esm,build:types,clean,compile,docs,format,format:code,format:rest,lint,lint:code,lint:rest,pre-commit,prepare,test,test:ext,test:lib",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\fast-deep-equal\package.json","fast-deep-equal","eslint,test,test-cov,test-spec,test-ts",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\fill-range\package.json","fill-range","lint,mocha,test,test:ci,test:cover","to-regex-range"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\finalhandler\package.json","finalhandler","lint,test,test-ci,test-cov,test-inspect","debug,encodeurl,escape-html,on-finished,parseurl,statuses,unpipe"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\forwarded\package.json","forwarded","bench,lint,test,test-ci,test-cov,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\fresh\package.json","fresh","bench,lint,test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\function-bind\package.json","function-bind","lint,posttest,postversion,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\get-intrinsic\package.json","get-intrinsic","lint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","call-bind-apply-helpers,es-define-property,es-errors,es-object-atoms,function-bind,get-proto,gopd,has-symbols,hasown,math-intrinsics"
