sheet,cell,formula_or_literal,resolved_value
Day 1 - Match 2,I89,"=IF(AND(ISNUMBER(I86),ISNUMBER(I87)),I86-I87-I88,"" "")",0
Day 1 - Match 2,J89,"=IF(AND(ISNUMBER(J86),ISNUMBER(J87)),J86-J87-J88,"" "")",0
Day 1 - Match 2,K89,"=IF(ISNUMBER(FIND(""Wins"",K90)), $N$1, IF(ISNUMBER(FIND(""Tie"",K90)), $N$2, $N$3))",2
Day 1 - Match 2,B90,"=IF(AND(ISNUMBER(B83),ISNUMBER(B89)),IF(B89<B83, 0+1, (IF(B89>B83, 0-1, 0))),"" "")",0
Day 1 - Match 2,C90,"=IF(AND(ISNUMBER(C83),ISNUMBER(C89)),IF(C89<C83, +B90+1, (IF(C89>C83, +B90-1, +B90))),"" "")",0
Day 1 - Match 2,D90,"=IF(AND(ISNUMBER(D83),ISNUMBER(D89)),IF(D89<D83, +C90+1, (IF(D89>D83, +C90-1, +C90))),"" "")",1
Day 1 - Match 2,E90,"=IF(AND(ISNUMBER(E83),ISNUMBER(E89)),IF(E89<E83, +D90+1, (IF(E89>E83, +D90-1, +D90))),"" "")",1
Day 1 - Match 2,F90,"=IF(AND(ISNUMBER(F83),ISNUMBER(F89)),IF(F89<F83, +E90+1, (IF(F89>F83, +E90-1, +E90))),"" "")",2
Day 1 - Match 2,G90,"=IF(AND(ISNUMBER(G83),ISNUMBER(G89)),IF(G89<G83, +F90+1, (IF(G89>G83, +F90-1, +F90))),"" "")",2
Day 1 - Match 2,H90,"=IF(AND(ISNUMBER(H83),ISNUMBER(H89)),IF(H89<H83, +G90+1, (IF(H89>H83, +G90-1, +G90))),"" "")",2
Day 1 - Match 2,I90,"=IF(AND(ISNUMBER(I83),ISNUMBER(I89)),IF(I89<I83, +H90+1, (IF(I89>I83, +H90-1, +H90))),"" "")",2
Day 1 - Match 2,J90,"=IF(AND(ISNUMBER(J83),ISNUMBER(J89)),IF(J89<J83, +I90+1, (IF(J89>J83, +I90-1, +I90))),"" "")",2
Day 1 - Match 2,K90,"=IF(ISNUMBER(J90),IF(F90>4,""Wins "" & F90 & "" & 4"",IF(G90>3,""Wins "" & G90 & "" & 3"",IF(H90>2,""Wins "" & H90 & "" & 2"",IF(I90>1,""Wins "" & I90 & "" & 1"",IF(J90>J84,""Wins "" & J90 & "" Up"",IF(J90<J84,""Loss"",""Tie"")))))),"" "")",Wins 2 & 1
Day 1 - Match 2,A92,Match 5,Match 5
Day 1 - Match 2,A93,=A22,Mil
Day 1 - Match 2,B93,=B22,0
Day 1 - Match 2,C93,=C22,0
Day 1 - Match 2,D93,=D22,0
Day 1 - Match 2,E93,=E22,0
Day 1 - Match 2,F93,=F22,0
Day 1 - Match 2,G93,=G22,0
Day 1 - Match 2,H93,=H22,0
Day 1 - Match 2,I93,=I22,0
Day 1 - Match 2,J93,=J22,0
Day 1 - Match 2,K93,=SUM(B93:J93),0
Day 1 - Match 2,A94,=A23,8
Day 1 - Match 2,B94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(B$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,C94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(C$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,D94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(D$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,E94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(E$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,F94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(F$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,G94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(G$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,H94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(H$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,I94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(I$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,J94,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(J$4,$B$4:$J$4,1))<=($A94-$A100),1,0),"""")",0
Day 1 - Match 2,K94,=SUM(B94:J94),0
Day 1 - Match 2,A95,"=IF((A94-A100)>9,(A94-A100-9),0)",0
Day 1 - Match 2,B95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(B$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,C95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(C$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,D95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(D$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,E95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(E$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,F95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(F$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,G95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(G$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,H95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(H$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,I95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(I$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,J95,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(J$4,$B$4:$J$4,1))<=($A95-$A101),1,0),"""")",0
Day 1 - Match 2,K95,=SUM(B95:J95),0
Day 1 - Match 2,B96,"=IF(AND(ISNUMBER(B93),ISNUMBER(B94)),B93-B94-B95,"" "")",0
Day 1 - Match 2,C96,"=IF(AND(ISNUMBER(C93),ISNUMBER(C94)),C93-C94-C95,"" "")",0
Day 1 - Match 2,D96,"=IF(AND(ISNUMBER(D93),ISNUMBER(D94)),D93-D94-D95,"" "")",0
Day 1 - Match 2,E96,"=IF(AND(ISNUMBER(E93),ISNUMBER(E94)),E93-E94-E95,"" "")",0
Day 1 - Match 2,F96,"=IF(AND(ISNUMBER(F93),ISNUMBER(F94)),F93-F94-F95,"" "")",0
Day 1 - Match 2,G96,"=IF(AND(ISNUMBER(G93),ISNUMBER(G94)),G93-G94-G95,"" "")",0
Day 1 - Match 2,H96,"=IF(AND(ISNUMBER(H93),ISNUMBER(H94)),H93-H94-H95,"" "")",0
Day 1 - Match 2,I96,"=IF(AND(ISNUMBER(I93),ISNUMBER(I94)),I93-I94-I95,"" "")",0
Day 1 - Match 2,J96,"=IF(AND(ISNUMBER(J93),ISNUMBER(J94)),J93-J94-J95,"" "")",0
Day 1 - Match 2,K96,"=IF(ISNUMBER(FIND(""Wins"",K97)), $N$1, IF(ISNUMBER(FIND(""Tie"",K97)), $N$2, $N$3))",0
Day 1 - Match 2,B97,"=IF(AND(ISNUMBER(B96),ISNUMBER(B102)),IF(B96<B102, 0+1, (IF(B96>B102, 0-1, 0))),"" "")",0
Day 1 - Match 2,C97,"=IF(AND(ISNUMBER(C96),ISNUMBER(C102)),IF(C96<C102, +B97+1, (IF(C96>C102, +B97-1, +B97))),"" "")",0
Day 1 - Match 2,D97,"=IF(AND(ISNUMBER(D96),ISNUMBER(D102)),IF(D96<D102, +C97+1, (IF(D96>D102, +C97-1, +C97))),"" "")",-1
Day 1 - Match 2,E97,"=IF(AND(ISNUMBER(E96),ISNUMBER(E102)),IF(E96<E102, +D97+1, (IF(E96>E102, +D97-1, +D97))),"" "")",-1
Day 1 - Match 2,F97,"=IF(AND(ISNUMBER(F96),ISNUMBER(F102)),IF(F96<F102, +E97+1, (IF(F96>F102, +E97-1, +E97))),"" "")",-2
Day 1 - Match 2,G97,"=IF(AND(ISNUMBER(G96),ISNUMBER(G102)),IF(G96<G102, +F97+1, (IF(G96>G102, +F97-1, +F97))),"" "")",-2
Day 1 - Match 2,H97,"=IF(AND(ISNUMBER(H96),ISNUMBER(H102)),IF(H96<H102, +G97+1, (IF(H96>H102, +G97-1, +G97))),"" "")",-3
Day 1 - Match 2,I97,"=IF(AND(ISNUMBER(I96),ISNUMBER(I102)),IF(I96<I102, +H97+1, (IF(I96>I102, +H97-1, +H97))),"" "")",-3
Day 1 - Match 2,J97,"=IF(AND(ISNUMBER(J96),ISNUMBER(J102)),IF(J96<J102, +I97+1, (IF(J96>J102, +I97-1, +I97))),"" "")",-4
Day 1 - Match 2,K97,"=IF(ISNUMBER(J97),IF(F97>4,""Wins "" & F97 & "" & 4"",IF(G97>3,""Wins "" & G97 & "" & 3"",IF(H97>2,""Wins "" & H97 & "" & 2"",IF(I97>1,""Wins "" & I97 & "" & 1"",IF(J97>J103,""Wins "" & J97 & "" Up"",IF(J97<J103,""Loss"",""Tie"")))))),"" "")",Loss
Day 1 - Match 2,A99,=A26,Brian
Day 1 - Match 2,B99,=B26,0
Day 1 - Match 2,C99,=C26,0
Day 1 - Match 2,D99,=D26,0
Day 1 - Match 2,E99,=E26,0
Day 1 - Match 2,F99,=F26,0
Day 1 - Match 2,G99,=G26,0
Day 1 - Match 2,H99,=H26,0
Day 1 - Match 2,I99,=I26,0
Day 1 - Match 2,J99,=J26,0
Day 1 - Match 2,K99,=SUM(B99:J99),0
Day 1 - Match 2,A100,=A27,12
Day 1 - Match 2,B100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(B$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",0
Day 1 - Match 2,C100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(C$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",0
Day 1 - Match 2,D100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(D$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",1
Day 1 - Match 2,E100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(E$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",0
Day 1 - Match 2,F100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(F$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",1
Day 1 - Match 2,G100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(G$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",0
Day 1 - Match 2,H100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(H$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",1
Day 1 - Match 2,I100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(I$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",0
Day 1 - Match 2,J100,"=IF(AND(ISNUMBER($A94),ISNUMBER($A100)),IF((RANK(J$4,$B$4:$J$4,1))<=($A100-$A94),1,0),"""")",1
Day 1 - Match 2,K100,=SUM(B100:J100),4
Day 1 - Match 2,A101,"=IF((A100-A94)>9,(A100-A94-9),0)",0
Day 1 - Match 2,B101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(B$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,C101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(C$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,D101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(D$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,E101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(E$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,F101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(F$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,G101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(G$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,H101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(H$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,I101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(I$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,J101,"=IF(AND(ISNUMBER($A95),ISNUMBER($A101)),IF((RANK(J$4,$B$4:$J$4,1))<=($A101-$A95),1,0),"""")",0
Day 1 - Match 2,K101,=SUM(B101:J101),0
Day 1 - Match 2,B102,"=IF(AND(ISNUMBER(B99),ISNUMBER(B100)),B99-B100-B101,"" "")",0
Day 1 - Match 2,C102,"=IF(AND(ISNUMBER(C99),ISNUMBER(C100)),C99-C100-C101,"" "")",0
Day 1 - Match 2,D102,"=IF(AND(ISNUMBER(D99),ISNUMBER(D100)),D99-D100-D101,"" "")",-1
Day 1 - Match 2,E102,"=IF(AND(ISNUMBER(E99),ISNUMBER(E100)),E99-E100-E101,"" "")",0
Day 1 - Match 2,F102,"=IF(AND(ISNUMBER(F99),ISNUMBER(F100)),F99-F100-F101,"" "")",-1
Day 1 - Match 2,G102,"=IF(AND(ISNUMBER(G99),ISNUMBER(G100)),G99-G100-G101,"" "")",0
Day 1 - Match 2,H102,"=IF(AND(ISNUMBER(H99),ISNUMBER(H100)),H99-H100-H101,"" "")",-1
Day 1 - Match 2,I102,"=IF(AND(ISNUMBER(I99),ISNUMBER(I100)),I99-I100-I101,"" "")",0
Day 1 - Match 2,J102,"=IF(AND(ISNUMBER(J99),ISNUMBER(J100)),J99-J100-J101,"" "")",-1
Day 1 - Match 2,K102,"=IF(ISNUMBER(FIND(""Wins"",K103)), $N$1, IF(ISNUMBER(FIND(""Tie"",K103)), $N$2, $N$3))",2
Day 1 - Match 2,B103,"=IF(AND(ISNUMBER(B96),ISNUMBER(B102)),IF(B102<B96, 0+1, (IF(B102>B96, 0-1, 0))),"" "")",0
Day 1 - Match 2,C103,"=IF(AND(ISNUMBER(C96),ISNUMBER(C102)),IF(C102<C96, +B103+1, (IF(C102>C96, +B103-1, +B103))),"" "")",0
Day 1 - Match 2,D103,"=IF(AND(ISNUMBER(D96),ISNUMBER(D102)),IF(D102<D96, +C103+1, (IF(D102>D96, +C103-1, +C103))),"" "")",1
Day 1 - Match 2,E103,"=IF(AND(ISNUMBER(E96),ISNUMBER(E102)),IF(E102<E96, +D103+1, (IF(E102>E96, +D103-1, +D103))),"" "")",1
Day 1 - Match 2,F103,"=IF(AND(ISNUMBER(F96),ISNUMBER(F102)),IF(F102<F96, +E103+1, (IF(F102>F96, +E103-1, +E103))),"" "")",2
Day 1 - Match 2,G103,"=IF(AND(ISNUMBER(G96),ISNUMBER(G102)),IF(G102<G96, +F103+1, (IF(G102>G96, +F103-1, +F103))),"" "")",2
Day 1 - Match 2,H103,"=IF(AND(ISNUMBER(H96),ISNUMBER(H102)),IF(H102<H96, +G103+1, (IF(H102>H96, +G103-1, +G103))),"" "")",3
Day 1 - Match 2,I103,"=IF(AND(ISNUMBER(I96),ISNUMBER(I102)),IF(I102<I96, +H103+1, (IF(I102>I96, +H103-1, +H103))),"" "")",3
Day 1 - Match 2,J103,"=IF(AND(ISNUMBER(J96),ISNUMBER(J102)),IF(J102<J96, +I103+1, (IF(J102>J96, +I103-1, +I103))),"" "")",4
Day 1 - Match 2,K103,"=IF(ISNUMBER(J103),IF(F103>4,""Wins "" & F103 & "" & 4"",IF(G103>3,""Wins "" & G103 & "" & 3"",IF(H103>2,""Wins "" & H103 & "" & 2"",IF(I103>1,""Wins "" & I103 & "" & 1"",IF(J103>J97,""Wins "" & J103 & "" Up"",IF(J103<J97,""Loss"",""Tie"")))))),"" "")",Wins 3 & 2
Day 1 - Match 2,A105,Match 6,Match 6
Day 1 - Match 2,A106,=A24,CSamm
Day 1 - Match 2,B106,=B24,0
Day 1 - Match 2,C106,=C24,0
Day 1 - Match 2,D106,=D24,0
Day 1 - Match 2,E106,=E24,0
Day 1 - Match 2,F106,=F24,0
Day 1 - Match 2,G106,=G24,0
Day 1 - Match 2,H106,=H24,0
Day 1 - Match 2,I106,=I24,0
Day 1 - Match 2,J106,=J24,0
Day 1 - Match 2,K106,=SUM(B106:J106),0
Day 1 - Match 2,A107,=A25,13
Day 1 - Match 2,B107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(B$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,C107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(C$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,D107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(D$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,E107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(E$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,F107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(F$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,G107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(G$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,H107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(H$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,I107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(I$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,J107,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(J$4,$B$4:$J$4,1))<=($A107-$A113),1,0),"""")",0
Day 1 - Match 2,K107,=SUM(B107:J107),0
Day 1 - Match 2,A108,"=IF((A107-A113)>9,(A107-A113-9),0)",0
Day 1 - Match 2,B108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(B$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,C108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(C$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,D108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(D$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,E108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(E$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,F108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(F$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,G108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(G$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,H108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(H$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,I108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(I$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,J108,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(J$4,$B$4:$J$4,1))<=($A108-$A114),1,0),"""")",0
Day 1 - Match 2,K108,=SUM(B108:J108),0
Day 1 - Match 2,B109,"=IF(AND(ISNUMBER(B106),ISNUMBER(B107)),B106-B107-B108,"" "")",0
Day 1 - Match 2,C109,"=IF(AND(ISNUMBER(C106),ISNUMBER(C107)),C106-C107-C108,"" "")",0
Day 1 - Match 2,D109,"=IF(AND(ISNUMBER(D106),ISNUMBER(D107)),D106-D107-D108,"" "")",0
Day 1 - Match 2,E109,"=IF(AND(ISNUMBER(E106),ISNUMBER(E107)),E106-E107-E108,"" "")",0
Day 1 - Match 2,F109,"=IF(AND(ISNUMBER(F106),ISNUMBER(F107)),F106-F107-F108,"" "")",0
Day 1 - Match 2,G109,"=IF(AND(ISNUMBER(G106),ISNUMBER(G107)),G106-G107-G108,"" "")",0
Day 1 - Match 2,H109,"=IF(AND(ISNUMBER(H106),ISNUMBER(H107)),H106-H107-H108,"" "")",0
Day 1 - Match 2,I109,"=IF(AND(ISNUMBER(I106),ISNUMBER(I107)),I106-I107-I108,"" "")",0
Day 1 - Match 2,J109,"=IF(AND(ISNUMBER(J106),ISNUMBER(J107)),J106-J107-J108,"" "")",0
Day 1 - Match 2,K109,"=IF(ISNUMBER(FIND(""Wins"",K110)), $N$1, IF(ISNUMBER(FIND(""Tie"",K110)), $N$2, $N$3))",1
Day 1 - Match 2,B110,"=IF(AND(ISNUMBER(B109),ISNUMBER(B115)),IF(B109<B115, 0+1, (IF(B109>B115, 0-1, 0))),"" "")",0
Day 1 - Match 2,C110,"=IF(AND(ISNUMBER(C109),ISNUMBER(C115)),IF(C109<C115, +B110+1, (IF(C109>C115, +B110-1, +B110))),"" "")",0
Day 1 - Match 2,D110,"=IF(AND(ISNUMBER(D109),ISNUMBER(D115)),IF(D109<D115, +C110+1, (IF(D109>D115, +C110-1, +C110))),"" "")",0
Day 1 - Match 2,E110,"=IF(AND(ISNUMBER(E109),ISNUMBER(E115)),IF(E109<E115, +D110+1, (IF(E109>E115, +D110-1, +D110))),"" "")",0
Day 1 - Match 2,F110,"=IF(AND(ISNUMBER(F109),ISNUMBER(F115)),IF(F109<F115, +E110+1, (IF(F109>F115, +E110-1, +E110))),"" "")",0
Day 1 - Match 2,G110,"=IF(AND(ISNUMBER(G109),ISNUMBER(G115)),IF(G109<G115, +F110+1, (IF(G109>G115, +F110-1, +F110))),"" "")",0
Day 1 - Match 2,H110,"=IF(AND(ISNUMBER(H109),ISNUMBER(H115)),IF(H109<H115, +G110+1, (IF(H109>H115, +G110-1, +G110))),"" "")",0
Day 1 - Match 2,I110,"=IF(AND(ISNUMBER(I109),ISNUMBER(I115)),IF(I109<I115, +H110+1, (IF(I109>I115, +H110-1, +H110))),"" "")",0
Day 1 - Match 2,J110,"=IF(AND(ISNUMBER(J109),ISNUMBER(J115)),IF(J109<J115, +I110+1, (IF(J109>J115, +I110-1, +I110))),"" "")",0
Day 1 - Match 2,K110,"=IF(ISNUMBER(J110),IF(F110>4,""Wins "" & F110 & "" & 4"",IF(G110>3,""Wins "" & G110 & "" & 3"",IF(H110>2,""Wins "" & H110 & "" & 2"",IF(I110>1,""Wins "" & I110 & "" & 1"",IF(J110>J116,""Wins "" & J110 & "" Up"",IF(J110<J116,""Loss"",""Tie"")))))),"" "")",Tie
Day 1 - Match 2,A112,=A28,Bob
Day 1 - Match 2,B112,=B28,0
Day 1 - Match 2,C112,=C28,0
Day 1 - Match 2,D112,=D28,0
Day 1 - Match 2,E112,=E28,0
Day 1 - Match 2,F112,=F28,0
Day 1 - Match 2,G112,=G28,0
Day 1 - Match 2,H112,=H28,0
Day 1 - Match 2,I112,=I28,0
Day 1 - Match 2,J112,=J28,0
Day 1 - Match 2,K112,=SUM(B112:J112),0
Day 1 - Match 2,A113,=A29,13
Day 1 - Match 2,B113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(B$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,C113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(C$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,D113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(D$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,E113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(E$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,F113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(F$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,G113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(G$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,H113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(H$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,I113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(I$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,J113,"=IF(AND(ISNUMBER($A107),ISNUMBER($A113)),IF((RANK(J$4,$B$4:$J$4,1))<=($A113-$A107),1,0),"""")",0
Day 1 - Match 2,K113,=SUM(B113:J113),0
Day 1 - Match 2,A114,"=IF((A113-A107)>9,(A113-A107-9),0)",0
Day 1 - Match 2,B114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(B$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,C114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(C$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,D114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(D$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,E114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(E$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,F114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(F$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,G114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(G$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,H114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(H$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,I114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(I$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,J114,"=IF(AND(ISNUMBER($A108),ISNUMBER($A114)),IF((RANK(J$4,$B$4:$J$4,1))<=($A114-$A108),1,0),"""")",0
Day 1 - Match 2,K114,=SUM(B114:J114),0
Day 1 - Match 2,B115,"=IF(AND(ISNUMBER(B112),ISNUMBER(B113)),B112-B113-B114,"" "")",0
Day 1 - Match 2,C115,"=IF(AND(ISNUMBER(C112),ISNUMBER(C113)),C112-C113-C114,"" "")",0
