sheet,cell,formula_or_literal,resolved_value
Day 1 - Match 1,V9,"=IF($S$39=V$5,S9*V$5,"""")",
Day 1 - Match 1,W9,"=IF($S$39=W$5,S9*W$5,"""")",
Day 1 - Match 1,X9,"=IF($S$39=X$5,S9*X$5,"""")",
Day 1 - Match 1,Y9,"=IF($S$39=Y$5,S9*Y$5,"""")",
Day 1 - Match 1,Z9,"=IF($S$39=Z$5,S9*Z$5,"""")",
Day 1 - Match 1,AA9,"=IF(SUM(V9:Z9)=0,0,Setup!F$45/SUM(V9:Z9))",0
Day 1 - Match 1,A10,=Matchups!C7,OB
Day 1 - Match 1,K10,=SUM(B10:J10),0
Day 1 - Match 1,M10,=A10,OB
Day 1 - Match 1,N10,=K10,0
Day 1 - Match 1,O10,=K57,2
Day 1 - Match 1,T10,='Skins - Day 1'!T10,0
Day 1 - Match 1,V10,"=IF($S$39=V$5,S10*V$5,"""")",
Day 1 - Match 1,W10,"=IF($S$39=W$5,S10*W$5,"""")",
Day 1 - Match 1,X10,"=IF($S$39=X$5,S10*X$5,"""")",
Day 1 - Match 1,Y10,"=IF($S$39=Y$5,S10*Y$5,"""")",
Day 1 - Match 1,Z10,"=IF($S$39=Z$5,S10*Z$5,"""")",
Day 1 - Match 1,AA10,"=IF(SUM(V10:Z10)=0,0,Setup!F$45/SUM(V10:Z10))",0
Day 1 - Match 1,AD10,=A10,OB
Day 1 - Match 1,AE10,=B10,0
Day 1 - Match 1,AF10,=C10,0
Day 1 - Match 1,AG10,=D10,0
Day 1 - Match 1,AH10,=E10,0
Day 1 - Match 1,AI10,=F10,0
Day 1 - Match 1,AJ10,=G10,0
Day 1 - Match 1,AK10,=H10,0
Day 1 - Match 1,AL10,=I10,0
Day 1 - Match 1,AM10,=J10,0
Day 1 - Match 1,A11,=Matchups!C8,6
Day 1 - Match 1,M11,=A11,6
Day 1 - Match 1,N11,=K11,0
Day 1 - Match 1,V11,"=IF($S$39=V$5,S11*V$5,"""")",
Day 1 - Match 1,W11,"=IF($S$39=W$5,S11*W$5,"""")",
Day 1 - Match 1,X11,"=IF($S$39=X$5,S11*X$5,"""")",
Day 1 - Match 1,Y11,"=IF($S$39=Y$5,S11*Y$5,"""")",
Day 1 - Match 1,Z11,"=IF($S$39=Z$5,S11*Z$5,"""")",
Day 1 - Match 1,AA11,"=IF(SUM(V11:Z11)=0,0,Setup!F$45/SUM(V11:Z11))",0
Day 1 - Match 1,A12,=Matchups!C9,Kyle
Day 1 - Match 1,K12,=SUM(B12:J12),0
Day 1 - Match 1,M12,=A12,Kyle
Day 1 - Match 1,N12,=K12,0
Day 1 - Match 1,O12,=K63,0
Day 1 - Match 1,T12,='Skins - Day 1'!T12,0
Day 1 - Match 1,V12,"=IF($S$39=V$5,S12*V$5,"""")",
